Name,Type,Description
Agent detection,False priors,The inclination to presume the purposeful intervention of a sentient or intelligent agent.
Ambiguity effect,Prospect theory,The tendency to avoid options for which the probability of a favorable outcome is unknown.[11]
Anchoring or focalism,Anchoring bias,"The tendency to rely too heavily, or ""anchor"", on one trait or piece of information when making decisions (usually the first piece of information acquired on that subject).[12][13]"
Anthropocentric thinking,Availability bias,"The tendency to use human analogies as a basis for reasoning about other, less familiar, biological phenomena.[14]"
Anthropomorphism orpersonification,Availability bias,"The tendency to characterize animals, objects, and abstract concepts as possessing human-like traits, emotions, and intentions.[15] The opposite bias, of not attributing feelings or thoughts to another person, is dehumanised perception,[16] a type of objectification."
Attentional bias,Availability bias,The tendency of perception to be affected by recurring thoughts.[17]
Attribute substitution,,"Occurs when a judgment has to be made (of a target attribute) that is computationally complex, and instead a more easily calculated heuristic attribute is substituted. This substitution is thought of as taking place in the automatic intuitive judgment system, rather than the more self-aware reflective system."
Automation bias,False priors,The tendency to depend excessively on automated systems which can lead to erroneous automated information overriding correct decisions.[18]
Availability heuristic,Availability bias,"The tendency to overestimate the likelihood of events with greater ""availability"" in memory, which can be influenced by how recent the memories are or how unusual or emotionally charged they may be.[19]"
Backfire effect,Confirmation bias,The reaction to disconfirming evidence by strengthening one's previous beliefs.[20] Note: the existence of this bias as a widespread phenomenon has been disputed in empirical studies
Base rate fallacy orBase rate neglect,Extension neglect,"The tendency to ignore general information and focus on information only pertaining to the specific case, even when the general information is more important.[21]"
Belief bias,Truthiness,An effect where someone's evaluation of the logical strength of an argument is biased by the believability of the conclusion.[22]
Berkson's paradox,Logical fallacy,The tendency to misinterpret statistical experiments involving conditional probabilities.[23]
Clustering illusion,Apophenia,"The tendency to overestimate the importance of small runs, streaks, or clusters in large samples of random data (that is, seeing phantom patterns).[13]"
Compassion fade,Extension neglect,The predisposition to behave more compassionately towards a small number of identifiable victims than to a large number of anonymous ones.[24]
Confirmation bias,Confirmation bias,"The tendency to search for, interpret, focus on and remember information in a way that confirms one's preconceptions.[25]"
Congruence bias,Confirmation bias,"The tendency to test hypotheses exclusively through direct testing, instead of testing possible alternative hypotheses.[13]"
Conjunction fallacy,Extension neglect,"The tendency to assume that specific conditions are more probable than a more general version of those same conditions. For example, subjects in one experiment perceived the probability of a woman being both a bank teller and a feminist as more likely than the probability of her being a bank teller.[26]"
Conservatism bias(belief revision),Anchoring bias,The tendency to revise one's belief insufficiently when presented with new evidence.[6][27][28]
Continued influence effect,Confirmation bias,The tendency to believe previously learned misinformation even after it has been corrected. Misinformation can still influence inferences one generates after a correction has occurred.[29] cf. Backfire effect
Contrast effect,Framing effect,"The enhancement or reduction of a certain stimulus' perception when compared with a recently observed, contrasting object.[30]"
Curse of knowledge,,When better-informed people find it extremely difficult to think about problems from the perspective of lesser-informed people.[31]
Declinism,,The predisposition to view the past favorably (rosy retrospection) and future negatively.[32]
Decoy effect,Framing effect,"Preferences for either option A or B change in favor of option B when option C is presented, which is completely dominated by option B (inferior in all respects) and partially dominated by option A.[33]"
Default effect,Framing effect,"When given a choice between several options, the tendency to favor the default one.[34]"
Denomination effect,Framing effect,"The tendency to spend more money when it is denominated in small amounts (e.g., coins) rather than large amounts (e.g., bills).[35]"
Disposition effect,Prospect theory,The tendency to sell an asset that has accumulated in value and resist selling an asset that has declined in value.
Distinction bias,Framing effect,The tendency to view two options as more dissimilar when evaluating them simultaneously than when evaluating them separately.[36]
Dread aversion,Prospect theory,"Just as losses yield double the emotional impact of gains, dread yields double the emotional impact of savouring.[37]"
Dunning–Kruger effect,,The tendency for unskilled individuals to overestimate their own ability and the tendency for experts to underestimate their own ability.[38]
Duration neglect,Extension neglect,The neglect of the duration of an episode in determining its value.[39]
Empathy gap,,"The tendency to underestimate the influence or strength of feelings, in either oneself or others.[40]"
End-of-history illusion,,The age-independent belief that one will change less in the future than one has in the past.[41]
Endowment effect,Prospect theory,The tendency for people to demand much more to give up an object than they would be willing to pay to acquire it.[42]
Exaggerated expectation,,The tendency to expect or predict more extreme outcomes than those outcomes that actually happen.[6]
Experimenter's orexpectation bias,Confirmation bias,"The tendency for experimenters to believe, certify, and publish data that agree with their expectations for the outcome of an experiment, and to disbelieve, discard, or downgrade the corresponding weightings for data that appear to conflict with those expectations.[43]"
Forer effect orBarnum effect,Egocentric bias,"The observation that individuals will give high accuracy ratings to descriptions of their personality that supposedly are tailored specifically for them, but are in fact vague and general enough to apply to a wide range of people. This effect can provide a partial explanation for the widespread acceptance of some beliefs and practices, such as astrology, fortune telling, graphology, and some types of personality tests.[44]"
Form function attribution bias,,"In human–robot interaction, the tendency of people to make systematic errors when interacting with a robot. People may base their expectations and perceptions of a robot on its appearance (form) and attribute functions which do not necessarily mirror the true functions of the robot.[45]"
Framing effect,Framing effect,"Drawing different conclusions from the same information, depending on how that information is presented."
Frequency illusion orBaader–Meinhof phenomenon,Availability bias,"The frequency illusion is that once something has been noticed then every instance of that thing is noticed, leading to the belief it has a high frequency of occurrence (a form of selection bias).[46] The Baader–Meinhof phenomenon is the illusion where something that has recently come to one's attention suddenly seems to appear with improbable frequency shortly afterwards.[47] [48] It was named after an incidence of frequency illusion in which the Baader–Meinhof Group was mentioned.[49]"
Functional fixedness,Anchoring bias,Limits a person to using an object only in the way it is traditionally used.[50]
Gambler's fallacy,Logical fallacy,"The tendency to think that future probabilities are altered by past events, when in reality they are unchanged. The fallacy arises from an erroneous conceptualization of the law of large numbers. For example, ""I've flipped heads with this coin five times consecutively, so the chance of tails coming out on the sixth flip is much greater than heads.""[51]"
Gender bias,False priors,"A widely held[52] set of implicit biases that discriminate against a gender. For example, the assumption that women are less suited to jobs requiring high intellectual ability.[53] Or the assumption that people or animals are male in the absence of any indicators of gender.[54]"
Hard–easy effect,,"The tendency to overestimate one's ability to accomplish hard tasks, and underestimate one's ability to accomplish easy tasks[6][55][56][57]"
Hindsight bias,,"Sometimes called the ""I-knew-it-all-along"" effect, the tendency to see past events as being predictable[58] at the time those events happened."
